epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72643,1.30346,4.01207,1.67254,0,0,0,0,0.61503,4.61493,1.51829,1e-05,1e-05,1e-05
2,5.40349,1.4849,4.16151,1.74395,0,0,0,0,0.62572,4.65043,1.55125,2.4505e-05,2.4505e-05,2.4505e-05
3,7.63849,1.48691,4.02116,1.75196,0,0,0,0,0.63118,4.6355,1.55431,3.8416e-05,3.8416e-05,3.8416e-05
4,9.83687,1.13044,4.11677,1.42292,0,0,0,0,0.65036,4.60963,1.58552,5.1733e-05,5.1733e-05,5.1733e-05
5,12.0239,1.28014,3.98483,1.68026,0,0,0,0,0.68884,4.58287,1.57911,6.4456e-05,6.4456e-05,6.4456e-05
6,14.2283,1.24363,3.79994,1.68833,0,0,0,0,0.6724,4.64126,1.52238,7.6585e-05,7.6585e-05,7.6585e-05
7,16.4504,1.23559,3.62293,1.46389,1,0.5,0.75,0.2625,0.66784,4.63866,1.52638,8.812e-05,8.812e-05,8.812e-05
8,19.1461,1.23632,3.64098,1.42872,1,0.75,0.875,0.31225,0.67125,4.61981,1.54097,9.9061e-05,9.9061e-05,9.9061e-05
9,21.7192,0.95851,3.31396,1.28033,0.6,0.75,0.823,0.2516,0.72527,4.64177,1.58146,0.000109408,0.000109408,0.000109408
10,24.5024,1.13906,3.11451,1.3083,0.4,1,0.88786,0.31639,0.76257,4.6697,1.63344,0.000119161,0.000119161,0.000119161
11,26.701,1.14588,3.0492,1.49115,0.26667,1,0.91167,0.32662,0.79497,4.66803,1.67522,0.00012832,0.00012832,0.00012832
12,28.8501,1.45998,3.07525,1.81841,0.23529,1,0.91167,0.31904,0.96711,4.47526,1.85266,0.000136885,0.000136885,0.000136885
13,30.9984,0.99543,2.73257,1.25627,0.16667,1,0.88786,0.36118,1.00902,4.31958,1.96452,0.000144856,0.000144856,0.000144856
14,33.1732,1.20437,3.09233,1.46277,0.22222,1,0.995,0.42808,0.99111,3.94851,1.90282,0.000152233,0.000152233,0.000152233
15,35.3355,1.22754,2.76742,1.62086,0.22222,1,0.995,0.42808,0.99111,3.94851,1.90282,0.000159016,0.000159016,0.000159016
16,37.5902,1.24433,2.68975,1.70769,0.92399,0.75,0.91167,0.4243,1.1128,3.75477,1.92603,0.000165205,0.000165205,0.000165205
17,39.938,1.2521,2.35463,1.7616,1,0.72196,0.88786,0.43772,1.22079,3.59982,1.95406,0.0001708,0.0001708,0.0001708
18,42.0698,1.06469,2.44793,1.49488,1,0.72196,0.88786,0.43772,1.22079,3.59982,1.95406,0.000175801,0.000175801,0.000175801
19,44.5652,1.16785,2.17428,1.42591,1,0.72572,0.91167,0.5665,1.16455,3.60865,1.91362,0.000180208,0.000180208,0.000180208
20,46.7594,1.01512,2.18553,1.36687,0.9586,0.75,0.88786,0.57071,1.086,3.6185,1.82697,0.000184021,0.000184021,0.000184021
21,49.0473,1.05412,2.51442,1.34404,0.9586,0.75,0.88786,0.57071,1.086,3.6185,1.82697,0.00018724,0.00018724,0.00018724
22,51.5633,1.02519,2.08836,1.20073,0.91951,0.75,0.85611,0.50743,1.26837,3.73885,2.0163,0.000189865,0.000189865,0.000189865
23,53.8143,1.20374,2.05109,1.62994,0.91951,0.75,0.85611,0.50743,1.26837,3.73885,2.0163,0.000191896,0.000191896,0.000191896
24,56.0318,1.05749,3.28082,1.57273,0.95055,0.75,0.87,0.41925,1.57648,4.09081,2.30887,0.000193333,0.000193333,0.000193333
25,58.4846,1.09562,2.06677,1.39523,0.95055,0.75,0.87,0.41925,1.57648,4.09081,2.30887,0.000194176,0.000194176,0.000194176
26,60.6793,1.03403,1.77127,1.37366,0.94791,0.75,0.7775,0.394,1.8008,4.11609,2.48877,0.000194425,0.000194425,0.000194425
27,62.9174,1.05967,1.72742,1.37083,0.94791,0.75,0.7775,0.394,1.8008,4.11609,2.48877,0.00019408,0.00019408,0.00019408
28,65.4387,1.0246,1.66683,1.38259,0.98313,0.75,0.87,0.40177,1.81537,4.11041,2.5169,0.000193141,0.000193141,0.000193141
29,67.666,0.75572,2.07643,1.17253,0.98313,0.75,0.87,0.40177,1.81537,4.11041,2.5169,0.000191608,0.000191608,0.000191608
30,69.8809,0.97148,1.57367,1.45091,0.98313,0.75,0.87,0.40177,1.81537,4.11041,2.5169,0.000189481,0.000189481,0.000189481
31,72.1187,1.0849,2.15647,1.52628,0.9742,0.75,0.945,0.4405,1.76607,3.69305,2.46386,0.00018676,0.00018676,0.00018676
32,74.3944,0.67604,5.60288,0.96751,0.9742,0.75,0.945,0.4405,1.76607,3.69305,2.46386,0.000183445,0.000183445,0.000183445
33,76.6544,0.9545,1.77082,1.25999,1,0.96394,0.995,0.61799,1.33086,3.10443,2.10079,0.000179536,0.000179536,0.000179536
34,79.1142,0.9068,1.66624,1.35471,1,0.96394,0.995,0.61799,1.33086,3.10443,2.10079,0.0001733,0.0001733,0.0001733
35,81.6932,0.79222,1.55286,1.22077,1,0.96394,0.995,0.61799,1.33086,3.10443,2.10079,0.0001634,0.0001634,0.0001634
36,83.982,0.97845,1.87694,1.36825,1,0.98677,0.995,0.61662,1.26341,2.62647,1.96977,0.0001535,0.0001535,0.0001535
37,86.2081,0.88965,1.68447,1.20559,1,0.98677,0.995,0.61662,1.26341,2.62647,1.96977,0.0001436,0.0001436,0.0001436
38,88.4923,0.52031,6.54553,0.78822,1,0.98677,0.995,0.61662,1.26341,2.62647,1.96977,0.0001337,0.0001337,0.0001337
39,90.884,0.69344,1.63818,1.11887,0.98277,1,0.995,0.60357,1.41439,2.54595,2.05651,0.0001238,0.0001238,0.0001238
40,93.1811,0.7083,1.46569,1.20238,0.98277,1,0.995,0.60357,1.41439,2.54595,2.05651,0.0001139,0.0001139,0.0001139
41,95.5345,0.85182,2.5078,1.39062,0.98325,1,0.995,0.64713,1.37056,2.5446,2.02898,0.000104,0.000104,0.000104
42,97.7923,0.88004,3.25907,1.1738,0.98325,1,0.995,0.64713,1.37056,2.5446,2.02898,9.41e-05,9.41e-05,9.41e-05
43,100.056,0.88778,2.28488,1.51355,0.98325,1,0.995,0.64713,1.37056,2.5446,2.02898,8.42e-05,8.42e-05,8.42e-05
44,102.721,0.59027,2.27242,1.13719,1,0.98697,0.995,0.66615,1.27234,2.46594,1.94869,7.43e-05,7.43e-05,7.43e-05
45,105.217,0.71775,2.38913,1.29393,1,0.98697,0.995,0.66615,1.27234,2.46594,1.94869,6.44e-05,6.44e-05,6.44e-05
46,107.627,0.74271,2.13229,1.1728,1,0.98697,0.995,0.66615,1.27234,2.46594,1.94869,5.45e-05,5.45e-05,5.45e-05
47,110.285,0.6608,2.02219,1.09655,0.76031,1,0.945,0.58602,1.28169,2.35793,1.97085,4.46e-05,4.46e-05,4.46e-05
48,112.714,0.46497,4.97987,0.7815,0.76031,1,0.945,0.58602,1.28169,2.35793,1.97085,3.47e-05,3.47e-05,3.47e-05
49,115.197,1.70365,3.81167,2.323,1,0.74057,0.945,0.54922,1.36447,2.37406,2.09562,2.48e-05,2.48e-05,2.48e-05
50,117.494,0.53149,5.47181,0.8167,1,0.74057,0.945,0.54922,1.36447,2.37406,2.09562,1.49e-05,1.49e-05,1.49e-05
