epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54142,0.954,1.50703,1.42226,0.8092,0.5625,0.57897,0.43626,1.37185,2.86661,1.73003,1.5e-05,1.5e-05,1.5e-05
2,8.67567,0.99744,1.70396,1.3637,0.81651,0.5625,0.61057,0.48431,1.23534,2.74171,1.62492,3.46535e-05,3.46535e-05,3.46535e-05
3,12.8394,0.91105,1.58527,1.33084,0.83256,0.62182,0.6293,0.49941,1.21953,2.6557,1.58308,5.3911e-05,5.3911e-05,5.3911e-05
4,16.7913,0.85353,1.57435,1.2684,0.84435,0.67869,0.70166,0.51377,1.24911,2.45785,1.60997,7.27725e-05,7.27725e-05,7.27725e-05
5,20.6339,0.68599,1.45971,1.11241,0.91309,0.6875,0.74741,0.54141,1.22973,2.24626,1.63969,9.1238e-05,9.1238e-05,9.1238e-05
6,26.3378,0.7806,1.4515,1.26551,1,0.67368,0.76855,0.55658,1.21827,2.26824,1.63929,0.000109308,0.000109308,0.000109308
7,30.2326,0.75816,1.34917,1.21957,1,0.68126,0.79288,0.55869,1.28552,2.17878,1.65855,0.000126981,0.000126981,0.000126981
8,33.8059,0.5928,4.93743,0.94726,0.99815,0.6875,0.80608,0.56054,1.24695,2.07423,1.63184,0.000144259,0.000144259,0.000144259
9,37.5517,1.0867,2.20021,1.42406,0.99145,0.6875,0.81456,0.55487,1.17417,1.95853,1.57712,0.00016114,0.00016114,0.00016114
10,41.3686,0.66575,1.27589,1.20568,0.98791,0.6875,0.83323,0.60568,1.12174,1.88561,1.51183,0.000177626,0.000177626,0.000177626
11,45.5399,0.74082,1.3272,1.16052,0.91597,0.6875,0.80203,0.60654,1.09376,1.89296,1.46085,0.000193715,0.000193715,0.000193715
12,49.1207,0.81811,1.24021,1.30952,0.90273,0.75,0.80588,0.59081,1.17341,1.90112,1.5236,0.000209408,0.000209408,0.000209408
13,52.6117,0.88182,1.35071,1.42678,1,0.68373,0.79648,0.56157,1.22242,1.9886,1.56054,0.000224706,0.000224706,0.000224706
14,56.6181,0.72936,1.14523,1.15073,0.90424,0.6875,0.77528,0.56639,1.14588,2.03602,1.54904,0.000239607,0.000239607,0.000239607
15,60.1117,1.13581,2.33446,1.34578,0.91011,0.6875,0.74249,0.54573,1.14072,2.10681,1.59098,0.000254113,0.000254113,0.000254113
16,63.5021,0.73964,1.40807,1.1882,0.91011,0.6875,0.74249,0.54573,1.14072,2.10681,1.59098,0.000268223,0.000268223,0.000268223
17,66.8569,0.84776,1.23784,1.28556,0.91059,0.6875,0.73574,0.5516,1.17443,2.11428,1.62635,0.000281936,0.000281936,0.000281936
18,70.2001,0.78421,1.3711,1.24526,0.92267,0.74602,0.75276,0.57077,1.15125,2.025,1.60043,0.000295253,0.000295253,0.000295253
19,73.6267,0.68369,1.28608,1.23182,0.92267,0.74602,0.75276,0.57077,1.15125,2.025,1.60043,0.000308175,0.000308175,0.000308175
20,77.6891,0.81552,1.26812,1.19111,0.9129,0.6875,0.75581,0.58718,1.17772,1.95,1.62151,0.000320701,0.000320701,0.000320701
21,81.442,0.71442,1.20232,1.13536,0.8565,0.75,0.7424,0.57873,1.14871,1.84886,1.60324,0.00033283,0.00033283,0.00033283
22,86.6713,0.64774,1.20112,1.16404,0.8565,0.75,0.7424,0.57873,1.14871,1.84886,1.60324,0.000344564,0.000344564,0.000344564
23,90.1556,0.81083,1.08735,1.1537,0.90901,0.6875,0.77349,0.54876,1.17049,1.79453,1.69449,0.000355901,0.000355901,0.000355901
24,93.6409,1.50448,2.11879,2.05777,0.90901,0.6875,0.77349,0.54876,1.17049,1.79453,1.69449,0.000366843,0.000366843,0.000366843
25,97.1521,0.75345,1.22142,1.16354,0.90764,0.6875,0.74162,0.50695,1.25076,1.97267,1.77693,0.000377388,0.000377388,0.000377388
26,100.515,0.70156,1.16905,1.20461,0.90764,0.6875,0.74162,0.50695,1.25076,1.97267,1.77693,0.00037625,0.00037625,0.00037625
27,104.027,0.65645,1.43297,1.17205,0.9154,0.67708,0.71973,0.42127,1.39555,2.34718,1.88694,0.0003713,0.0003713,0.0003713
28,107.492,0.69273,1.199,1.13916,0.9154,0.67708,0.71973,0.42127,1.39555,2.34718,1.88694,0.00036635,0.00036635,0.00036635
29,111.229,0.78849,1.31798,1.09544,0.76273,0.625,0.63821,0.35964,1.5053,2.88807,2.06408,0.0003614,0.0003614,0.0003614
30,115.155,0.89814,1.55685,1.52583,0.76273,0.625,0.63821,0.35964,1.5053,2.88807,2.06408,0.00035645,0.00035645,0.00035645
31,118.646,0.55195,1.10253,1.05123,0.8169,0.55811,0.62957,0.41271,1.47033,2.63544,1.95016,0.0003515,0.0003515,0.0003515
32,122.13,0.68079,1.26504,1.12689,0.8169,0.55811,0.62957,0.41271,1.47033,2.63544,1.95016,0.00034655,0.00034655,0.00034655
33,125.644,1.11432,1.3712,1.58697,0.80853,0.5625,0.66744,0.48192,1.42271,2.66057,1.8835,0.0003416,0.0003416,0.0003416
34,129.178,0.69931,1.36985,1.05549,0.80853,0.5625,0.66744,0.48192,1.42271,2.66057,1.8835,0.00033665,0.00033665,0.00033665
35,398.166,0.59551,1.62403,1.07711,0.96726,0.5625,0.70374,0.55585,1.32077,2.58493,1.76884,0.0003317,0.0003317,0.0003317
36,401.481,0.48409,4.07863,0.82289,0.96726,0.5625,0.70374,0.55585,1.32077,2.58493,1.76884,0.00032675,0.00032675,0.00032675
37,404.807,0.67348,1.15158,1.19986,0.98357,0.5625,0.70161,0.5655,1.21224,2.47929,1.65119,0.0003218,0.0003218,0.0003218
38,408.173,0.73712,1.79039,1.299,0.98357,0.5625,0.70161,0.5655,1.21224,2.47929,1.65119,0.00031685,0.00031685,0.00031685
39,411.762,0.73348,1.15042,1.12112,0.95678,0.5625,0.69549,0.57083,1.11442,2.24047,1.53555,0.0003119,0.0003119,0.0003119
40,415.086,0.6957,1.10679,1.07266,0.95678,0.5625,0.69549,0.57083,1.11442,2.24047,1.53555,0.00030695,0.00030695,0.00030695
41,422.825,0.69256,1.60593,1.11076,0.8906,0.5625,0.68035,0.54277,1.15622,2.17157,1.56984,0.000302,0.000302,0.000302
42,428.044,0.64168,1.31064,1.05187,0.8906,0.5625,0.68035,0.54277,1.15622,2.17157,1.56984,0.00029705,0.00029705,0.00029705
43,432.508,0.57919,1.0506,1.05071,0.89247,0.5625,0.72238,0.54131,1.11805,2.1156,1.51702,0.0002921,0.0002921,0.0002921
44,436.623,0.50603,1.01928,1.05859,0.89247,0.5625,0.72238,0.54131,1.11805,2.1156,1.51702,0.00028715,0.00028715,0.00028715
45,440.868,0.49276,1.12564,1.10679,0.89985,0.5625,0.73671,0.58102,1.06223,2.01173,1.47494,0.0002822,0.0002822,0.0002822
46,445.476,0.92378,1.12765,1.32636,0.89985,0.5625,0.73671,0.58102,1.06223,2.01173,1.47494,0.00027725,0.00027725,0.00027725
47,449.451,0.6396,0.9583,1.10065,0.90435,0.625,0.77634,0.61032,1.02754,1.92857,1.43156,0.0002723,0.0002723,0.0002723
48,452.97,0.59004,0.93749,1.10827,0.90435,0.625,0.77634,0.61032,1.02754,1.92857,1.43156,0.00026735,0.00026735,0.00026735
49,462.626,0.53969,0.99013,1.0522,0.9901,0.625,0.78265,0.63462,0.95377,1.82944,1.38918,0.0002624,0.0002624,0.0002624
50,468.431,0.3857,3.3373,0.77105,0.9901,0.625,0.78265,0.63462,0.95377,1.82944,1.38918,0.00025745,0.00025745,0.00025745
51,473.133,0.85163,1.25543,1.6191,0.99424,0.625,0.79506,0.63161,1.00402,1.89263,1.41611,0.0002525,0.0002525,0.0002525
52,477.383,0.57984,1.09039,1.0706,0.99424,0.625,0.79506,0.63161,1.00402,1.89263,1.41611,0.00024755,0.00024755,0.00024755
53,482.069,0.59871,0.96568,1.14234,0.99366,0.625,0.80514,0.64438,0.95347,1.92141,1.38858,0.0002426,0.0002426,0.0002426
54,486.494,0.48703,0.9654,1.03167,0.99366,0.625,0.80514,0.64438,0.95347,1.92141,1.38858,0.00023765,0.00023765,0.00023765
55,662.819,0.4366,0.84708,0.99094,1,0.68157,0.7915,0.64317,0.95809,1.98784,1.37096,0.0002327,0.0002327,0.0002327
56,666.854,0.52759,0.94304,1.0599,1,0.68157,0.7915,0.64317,0.95809,1.98784,1.37096,0.00022775,0.00022775,0.00022775
57,670.182,0.44342,0.9144,0.98994,1,0.67873,0.7785,0.64005,0.89731,1.9715,1.31236,0.0002228,0.0002228,0.0002228
58,673.473,0.46992,0.8879,1.00584,1,0.67873,0.7785,0.64005,0.89731,1.9715,1.31236,0.00021785,0.00021785,0.00021785
59,676.738,0.48976,1.02948,1.00425,1,0.68065,0.78418,0.64278,0.87305,1.90413,1.28909,0.0002129,0.0002129,0.0002129
60,679.998,0.46285,0.84045,0.97388,1,0.68065,0.78418,0.64278,0.87305,1.90413,1.28909,0.00020795,0.00020795,0.00020795
61,683.315,0.48305,0.98814,1.06556,1,0.69694,0.77546,0.63207,0.8122,1.8132,1.26464,0.000203,0.000203,0.000203
62,686.988,0.44203,0.89785,1.08479,1,0.69694,0.77546,0.63207,0.8122,1.8132,1.26464,0.00019805,0.00019805,0.00019805
63,691.251,0.49064,1.00491,1.07372,1,0.73668,0.76722,0.63881,0.79565,1.73229,1.25708,0.0001931,0.0001931,0.0001931
64,695.453,0.36017,0.79263,0.92393,1,0.73668,0.76722,0.63881,0.79565,1.73229,1.25708,0.00018815,0.00018815,0.00018815
65,699.768,0.54488,0.94644,1.00852,0.98009,0.75,0.78335,0.64859,0.79812,1.64306,1.2528,0.0001832,0.0001832,0.0001832
66,704.135,0.50314,0.90903,1.01176,0.98009,0.75,0.78335,0.64859,0.79812,1.64306,1.2528,0.00017825,0.00017825,0.00017825
67,708.861,0.53592,0.88522,1.05905,0.99567,0.75,0.81027,0.67708,0.81691,1.55328,1.2799,0.0001733,0.0001733,0.0001733
68,713.342,0.55196,1.03041,1.05398,0.99567,0.75,0.81027,0.67708,0.81691,1.55328,1.2799,0.00016835,0.00016835,0.00016835
69,716.67,0.33715,5.80204,0.74738,1,0.74864,0.80676,0.68392,0.78866,1.45647,1.27405,0.0001634,0.0001634,0.0001634
